X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,PERF
-12.0,-5.0,12.185954682905475,-14.0,-19.0,9.472394869996165,29.0,12.0,-26.0,-25.77201670398605,19.23736192770417
11.0,-15.0,11.427629635515117,21.0,-17.0,-14.500422217234304,30.0,20.0,-25.0,-21.394715991930774,19.253709897708845
-28.0,-7.0,1.0573887178095056,-26.0,-15.0,-10.377468867315727,25.0,17.0,27.0,-15.373715502469697,19.436313467997756
-24.0,24.0,5.473724823739815,13.0,-13.0,-19.39590673144288,1.0,29.0,23.0,-11.24995671379883,19.564761132413743
-27.0,10.0,20.298170053830646,15.0,-10.0,3.1282001502777703,29.0,-11.0,-28.0,-24.651120202238022,19.414073323763443
1.0,4.0,10.0,24.0,-16.0,19.0576171875,29.0,6.0,31.0,-12.2900390625,19.602403351094694
1.0,4.0,10.0,8.0,-12.0,-10.72265625,29.0,6.0,31.0,-5.68359375,19.272164071936707
8.0,6.0,-2.9175582089612497,-6.0,-5.0,22.490105109359178,30.0,16.0,30.0,14.382481252636282,17.67263617928981
22.0,24.0,-24.733340186593438,-5.0,17.0,17.462051018793076,-11.0,0.0,30.0,22.5295683858266,17.27317433882836
12.0,12.0,4.488117074749212,-21.0,22.0,-10.328972292855116,29.0,20.0,30.0,28.476704893094272,17.308930344995282
7.0,8.0,-4.294357334784895,-14.0,-8.0,25.206023454890683,30.0,12.0,15.0,11.660912664411747,17.671975938533336
11.0,4.0,-19.183621916228432,-18.0,24.0,14.380344198632635,30.0,-3.0,27.0,18.693397978506177,16.702466174818603
24.0,30.0,20.989149579516415,-18.0,13.0,27.512717006227305,30.0,-22.0,28.0,10.592269839680576,17.607103119410148
12.0,2.0,-15.152773180062793,-19.0,27.0,-27.907580190450794,30.0,-3.0,30.0,-23.309476577661282,17.840915967278114
-17.0,25.0,11.58773170501918,20.0,-5.0,-3.9937342514016336,30.0,26.0,3.0,29.707146725391894,17.218836717985372
9.0,-21.0,-11.278060808583835,-16.0,-14.0,25.48975865101265,30.0,26.0,4.0,20.11123272219593,17.912830198233152
15.0,-21.0,-11.955437484587257,28.0,10.0,27.5642436763476,28.0,-11.0,30.0,23.39867186468821,17.71996649559494
1.0,4.0,10.0,15.0,-3.0,22.4267578125,29.0,6.0,28.0,17.5048828125,18.39611055196125
23.0,16.0,-3.663730029034525,4.0,7.0,21.460259479474196,29.0,24.0,25.0,-22.19717550902901,18.134697796488513
-3.0,4.0,10.0,15.0,20.0,22.4267578125,29.0,6.0,28.0,17.5048828125,17.438088397814884
19.0,11.0,-1.464609832066305,-7.0,-24.0,22.488402152017564,29.0,-1.0,30.0,-27.917384581458084,17.96575252606363
3.0,-10.0,-23.792427122783003,10.0,16.0,23.179541562573903,30.0,19.0,-10.0,22.403633457439568,17.483582276082053
8.0,-1.0,-22.149708875491374,-13.0,-23.0,-25.320753405910132,29.0,-13.0,25.0,0.5506623870792247,18.068525551565223
16.0,4.0,10.0,15.0,-10.0,27.509765625,29.0,6.0,28.0,3.0,17.957068093283286
8.0,4.0,10.0,15.0,20.0,23.44482421875,29.0,6.0,11.0,-4.68017578125,17.89544908276074
8.0,-28.0,-4.262778280244508,-18.0,0.0,4.517868895514432,30.0,26.0,30.0,-10.129830566312275,17.820876426616902
-6.0,30.0,21.37136939866685,-3.0,-17.0,-10.015694601544613,29.0,15.0,30.0,13.663845284069545,17.837232864643386
24.0,8.0,5.851253502880894,13.0,-7.0,-29.72865468473409,30.0,-19.0,30.0,-5.735164830192975,18.298679454602862
10.0,4.0,12.265011544918089,-4.0,-6.0,25.826138004217576,30.0,14.0,22.0,21.045823668171316,18.12426292952858
-17.0,16.0,24.927754782249437,3.0,-27.0,27.854241293166154,29.0,23.0,27.0,11.942144844942028,18.17330301035953
-22.0,-25.0,-17.442171320264265,4.0,-10.0,22.797767673485957,30.0,15.0,20.0,5.704867023399991,17.968856220935898
-23.0,8.0,-9.636911987948562,-13.0,0.0,-23.330561155123927,29.0,21.0,28.0,27.148986726097235,18.49266051654035
1.0,4.0,10.0,15.0,-9.0,7.0,29.0,21.0,26.0,15.93017578125,18.01391327036738
1.0,7.0,10.0,-21.0,20.0,7.0,29.0,6.0,4.0,22.510986328125,17.841302316215547
1.0,6.0,10.0,15.0,-5.0,7.0,29.0,6.0,-20.0,-0.65185546875,17.774244778890377
28.0,2.0,8.213737748709953,-10.0,-9.0,-14.415239515187583,30.0,29.0,-21.0,-9.150020114567699,18.491341749812246
-3.0,5.0,-4.1848145369485685,-9.0,-3.0,20.839778200511667,30.0,20.0,14.0,13.038541237169476,17.760511011937435
-26.0,6.0,22.069464257138414,-4.0,-25.0,16.694867471102853,30.0,13.0,-8.0,-11.501480821159436,17.917222900178732
-4.0,6.0,-5.208362109114692,3.0,-3.0,-12.403929111470234,30.0,-13.0,-4.0,28.94241032873535,17.143744562558332
-22.0,5.0,-17.6486976929952,-26.0,-22.0,1.0009246080545537,30.0,19.0,-6.0,29.87015536840265,16.10391630102159
-3.0,28.0,10.0,15.0,-2.0,7.0,29.0,6.0,31.0,28.95263671875,16.52777185976112
-12.0,-3.0,15.14615114967863,-19.0,-5.0,26.25796735835528,29.0,-15.0,-12.0,29.375611851146886,17.105950288544964
1.0,6.0,10.0,15.0,14.0,-19.47509765625,29.0,6.0,31.0,21.68701171875,17.1522381171897
-14.0,6.0,-23.65215880671974,7.0,29.0,-16.537094316920843,30.0,-24.0,17.0,15.982076999868625,17.02472843479009
-10.0,4.0,-7.789306640625,15.0,-7.0,7.0,29.0,6.0,31.0,28.077392578125,17.431477600358857
13.0,20.0,-22.88334880078635,4.0,-3.0,-21.988496010333712,30.0,-22.0,1.0,21.614751443685456,17.222866390209596
16.0,-1.0,-6.915539733621149,-21.0,-3.0,17.460275362239322,30.0,9.0,-3.0,26.211419371507468,17.238583044456046
1.0,5.0,10.0,0.0,-5.0,7.0,29.0,6.0,31.0,26.12548828125,16.517019718307523
5.0,4.0,10.0,0.0,-5.0,7.0,29.0,6.0,31.0,26.12548828125,15.846366154482027
1.0,4.0,10.0,-5.0,7.0,7.0,29.0,6.0,-8.0,29.36279296875,16.25694847400184
1.0,4.0,10.0,3.0,18.0,7.0,29.0,6.0,-19.0,26.103515625,15.9882871133881
25.0,4.0,10.0,-5.0,1.0,7.0,29.0,6.0,31.0,29.205322265625,15.5774999650489
0.0,4.0,10.0,-6.0,-18.0,7.0,29.0,6.0,31.0,27.1142578125,16.013937614797552
5.0,0.0,10.0,-5.0,20.0,7.0,29.0,6.0,31.0,26.12548828125,16.475732469936645
14.0,5.0,10.0,15.0,16.0,7.0,29.0,6.0,31.0,29.86083984375,17.045266029333124
1.0,6.0,10.0,1.0,-2.0,7.0,29.0,6.0,31.0,-13.38134765625,16.69457362246741
1.0,28.0,10.0,1.0,7.0,7.0,29.0,6.0,31.0,3.0,16.79449408217057
-2.0,-3.0,-11.782264258008215,0.0,-9.0,22.01648900596023,30.0,-28.0,-16.0,29.905914876609224,16.921659818595817
29.0,5.0,10.0,0.0,-4.0,7.0,29.0,6.0,31.0,3.0,16.253164843958686
6.0,4.0,10.0,1.0,-2.0,7.0,29.0,6.0,31.0,-13.38134765625,16.173012056558516
-23.0,-20.0,10.0,3.0,-4.0,7.0,29.0,6.0,31.0,3.0,17.03625520222676
0.0,4.0,10.0,-17.0,-1.0,7.0,29.0,6.0,31.0,-13.890380859375,15.91292941761906
1.0,-16.0,10.0,-2.0,-6.0,7.0,29.0,6.0,31.0,3.0,16.243793523847167
6.0,7.0,10.0,-6.0,1.0,7.0,29.0,6.0,31.0,3.0,16.774670101502036
6.0,4.0,10.0,1.0,-2.0,7.0,29.0,6.0,-13.0,3.0,15.827467437807833
7.0,13.0,10.0,0.0,-5.0,7.0,28.0,6.0,31.0,3.0,18.203983965049737
0.0,0.0,10.0,2.0,-3.0,7.0,28.0,6.0,31.0,3.0,17.23920598805135
