executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
1,29158,29,10,false,10,0.6,0.657501220703125,83,false,16,582,100,1.5,0.75,4,lz4,64,66,true,64,14,50,394,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,547.294
1,25600,26,25,false,10,0.757537841796875,0.5,32,false,33,932,24,1.5,0.75,124,lz4,64,32,true,64,3,246,282,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,515.318
2,32311,31,40,false,96,0.660643290456116,0.9947859535405734,106,false,119,713,90,1.4931287772345576,0.928696028591509,76,lz4,79,37,true,104,59,469,218,5,false,false,false,true,org.apache.spark.serializer.KryoSerializer,395.928
6,43831,18,25,false,45,0.8178560324639157,0.8824494889803005,85,true,22,295,54,1.41365576959906,0.866975715499708,92,lz4,117,122,true,18,59,210,326,9,false,false,false,false,org.apache.spark.serializer.JavaSerializer,466.572
1,25600,25,8,false,10,0.6,0.5,15,true,13,195,100,3.78271484375,0.75,4,lz4,64,71,true,61,121,50,370,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,619.154
1,31816,8,47,false,10,0.64276123046875,0.5,21,false,42,200,41,4.56884765625,0.75,4,lz4,123,16,true,64,102,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,498.988
1,25600,28,8,false,10,0.6,0.80303955078125,110,false,48,200,30,1.61572265625,0.75,4,lz4,90,32,true,64,89,290,497,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,469.671
1,26826,29,8,false,54,0.6,0.5,32,false,62,456,28,1.5,0.75,4,lz4,71,71,true,64,121,50,216,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,535.233
1,25600,18,8,false,52,0.6,0.5069580078125,114,false,8,200,17,1.5,0.75,4,lz4,98,13,true,64,93,50,108,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,534.378
8,33445,38,24,false,77,0.805636219126709,0.936509025726558,35,false,64,644,28,4.266479422572003,0.7929672304297689,79,lzf,106,83,false,115,30,252,250,4,false,true,true,true,org.apache.spark.serializer.JavaSerializer,364.096
1,35786,8,8,false,10,0.6,0.5,120,false,95,200,80,2.782958984375,0.75,4,lz4,125,96,true,64,62,50,403,4,true,true,true,false,org.apache.spark.serializer.JavaSerializer,596.072
16,27808,22,39,true,61,0.9230459071889612,0.7922384113992534,25,false,33,416,23,3.921548587725836,0.7916983176793514,80,lz4,72,61,true,66,106,147,80,9,false,true,true,false,org.apache.spark.serializer.KryoSerializer,470.065
10,39114,34,31,false,100,0.6160673725247806,0.6379553906234565,105,false,119,960,81,2.557678893535657,0.3318559703815497,64,lz4,77,98,true,110,3,231,212,7,true,false,false,true,org.apache.spark.serializer.KryoSerializer,723.64
1,31794,8,44,false,11,0.94927978515625,0.5,32,false,80,508,100,3.31396484375,0.75,4,lz4,117,32,true,64,64,57,229,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,612.984
16,33987,42,10,true,87,0.8090551984769043,0.768153101396597,20,false,120,704,62,2.2672202725941455,0.5612462582495836,100,lzf,78,88,false,60,20,476,263,9,true,true,false,false,org.apache.spark.serializer.JavaSerializer,361.738
1,37644,45,8,false,47,0.6,0.73492431640625,32,false,48,993,100,3.21142578125,0.0169677734375,4,lz4,64,32,true,47,75,50,138,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,839.848
1,27866,16,8,false,12,0.6,0.740386962890625,32,false,48,200,100,1.876708984375,0.32940673828125,4,lz4,122,32,true,36,24,50,433,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,541.696
1,25600,37,8,false,10,0.6,0.57257080078125,32,false,48,630,100,1.43603515625,0.9019775390625,4,lz4,96,32,true,116,94,328,215,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,460.429
1,25600,8,8,false,10,0.6,0.5,67,false,37,200,100,4.634521484375,0.87017822265625,70,lz4,116,53,true,70,127,50,430,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,496.414
9,35206,38,23,false,32,0.9363067745059683,0.815966133693496,94,false,38,491,19,3.766120527370141,0.35569218226857,71,lz4,120,68,false,20,70,500,433,8,true,false,true,true,org.apache.spark.serializer.JavaSerializer,392.004
14,41869,47,25,false,30,0.6519372863667504,0.9295416545518871,95,false,80,466,49,1.475478344223025,0.33303086081923083,25,lz4,82,114,false,52,56,302,338,9,false,false,true,false,org.apache.spark.serializer.JavaSerializer,480.299
1,30868,8,8,false,39,0.878387451171875,0.5,32,false,115,722,51,1.5,0.79864501953125,115,lz4,70,107,true,64,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,610.092
