X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,PERF
-29.0,-26.0,29.688008926567854,4.0,-12.0,-19.542215177661937,29.0,22.0,0.0,-9.094935139122043,39.55645058307927
-6.0,-18.0,-14.011396142704232,20.0,-13.0,-16.945617280719667,30.0,-10.0,-18.0,-22.919429697742622,37.60464806131332
-12.0,0.0,10.0,0.0,-15.0,7.0,4.0,6.0,31.0,-7.822265625,34.916846908921215
-13.0,27.0,-11.298550922432831,14.0,-18.0,-21.78840394161138,23.0,4.0,30.0,11.93715477483373,38.66090136989824
-15.0,4.0,10.0,28.0,-13.0,7.0,4.0,6.0,27.0,-22.5439453125,37.94602759132005
0.0,-14.0,-27.15656440285465,30.0,-15.0,3.7174663517468574,27.0,-27.0,30.0,-13.690608294708632,38.96756552391014
-16.0,-4.0,12.518005421334905,-15.0,-16.0,13.575728106109494,10.0,15.0,15.0,-19.755379685104653,37.5241710714
-26.0,-15.0,7.232232067120044,-18.0,-18.0,9.460774224893555,24.0,19.0,30.0,-13.150268179025758,38.63557964859391
-8.0,25.0,16.518351919289735,9.0,-14.0,-15.345321529812566,-5.0,22.0,-1.0,-6.903412404337342,38.33437697588673
1.0,4.0,10.0,0.0,-15.0,7.0,4.0,6.0,25.0,0.7470703125,33.790750006090775
1.0,4.0,10.0,0.0,-15.0,7.0,4.0,6.0,25.0,0.7470703125,33.790750006090775
1.0,4.0,10.0,0.0,-15.0,7.0,4.0,6.0,25.0,0.7470703125,33.790750006090775
29.0,4.0,10.0,-15.0,-15.0,7.0,4.0,6.0,28.0,8.37890625,38.13670292272725
1.0,4.0,10.0,0.0,-24.0,-29.89013671875,4.0,6.0,25.0,-0.62255859375,36.21689230550703
-4.0,4.0,10.0,0.0,-13.0,7.0,4.0,6.0,25.0,21.7822265625,33.324801296441194
1.0,4.0,10.0,25.0,-13.0,29.61181640625,4.0,6.0,25.0,16.28173828125,37.036476056514786
1.0,4.0,10.0,4.0,-14.0,2.578125,4.0,6.0,26.0,26.484375,33.64978936841911
1.0,4.0,10.0,4.0,-14.0,7.0,2.0,6.0,26.0,26.484375,33.6497893653866
1.0,4.0,10.0,1.0,-17.0,7.0,0.0,6.0,26.0,14.3115234375,34.41715124522576
1.0,4.0,10.0,12.0,-21.0,7.0,22.0,6.0,26.0,25.48828125,36.25747414765273
1.0,4.0,10.0,3.0,-5.0,7.0,7.0,6.0,26.0,1.60400390625,30.80615178897981
1.0,4.0,10.0,-27.0,-2.0,7.0,11.0,6.0,26.0,10.87646484375,36.8372223623556
