sourcetask_1,sourcetask_2,sourcetask_3,sourcetask_4,sourcetask_5,sourcetask_6,sourcetask_7,sourcetask_8,sourcetask_9,sourcetask_10
0.92,0.889795918367347,0.6481632653061224,0.76,0.5738775510204082,0.5420408163265306,0.7926530612244898,0.8057142857142857,0.5542857142857143,0.5436734693877551
0.92,0.8909803921568628,0.6447058823529411,0.7466666666666667,0.5725490196078431,0.5372549019607843,0.7952941176470588,0.8094117647058824,0.5419607843137255,0.5325490196078432
0.920814479638009,0.8929110105580694,0.6440422322775264,0.7496229260935143,0.5739064856711915,0.5452488687782805,0.8009049773755657,0.8137254901960784,0.5542986425339367,0.5361990950226244
0.9201741654571843,0.895500725689405,0.6473149492017417,0.7445573294629898,0.5769230769230769,0.5500725689404935,0.8055152394775036,0.8171262699564587,0.5566037735849056,0.5391872278664731
0.9175401816911251,0.896575821104123,0.6450034940600978,0.742837176799441,0.5765199161425576,0.546470999301188,0.8057302585604472,0.8197064989517819,0.5541579315164221,0.5373864430468204
0.9198653198653198,0.9003367003367003,0.641077441077441,0.7488215488215488,0.5750841750841751,0.5447811447811448,0.8087542087542088,0.8222222222222222,0.5454545454545454,0.5259259259259259
0.9123376623376623,0.9038961038961039,0.6363636363636364,0.75,0.5831168831168831,0.5467532467532468,0.8058441558441558,0.8155844155844156,0.5493506493506494,0.5318181818181819
0.8984962406015038,0.9072681704260651,0.6322055137844611,0.7487468671679198,0.5877192982456141,0.5545112781954887,0.7982456140350878,0.8051378446115288,0.5463659147869674,0.5325814536340853
0.8983666061705989,0.8983666061705989,0.6297640653357531,0.7422867513611615,0.588021778584392,0.5535390199637024,0.7967332123411979,0.8045977011494253,0.5499092558983666,0.5341802782819117
0.891291642314436,0.9012273524254821,0.6236119228521333,0.7434248977206313,0.5897136177673875,0.5581531268264173,0.7936879018118059,0.7977790765634132,0.5499707773232028,0.5318527177089422
0.8830508474576271,0.9011299435028248,0.6225988700564972,0.7440677966101695,0.5932203389830508,0.5570621468926553,0.7932203389830509,0.7932203389830509,0.5508474576271186,0.5333333333333333
0.8819672131147541,0.8912568306010928,0.6240437158469946,0.746448087431694,0.5956284153005464,0.5573770491803278,0.7901639344262295,0.7928961748633879,0.5519125683060109,0.5355191256830601
0.8757271285034374,0.8942358540454786,0.6203067160232681,0.7451084082496033,0.594923320994183,0.562665256478054,0.7847699629825489,0.7868852459016393,0.5520888418826018,0.5367530407191962
0.8740399385560675,0.8934971838197645,0.6200716845878136,0.746031746031746,0.5960061443932412,0.5627240143369175,0.7864823348694316,0.7885304659498208,0.5494111623143881,0.5376344086021505
0.8759920634920635,0.8839285714285714,0.6195436507936508,0.7475198412698413,0.59375,0.5639880952380952,0.785218253968254,0.7876984126984127,0.5486111111111112,0.5357142857142857
0.8711538461538462,0.8860576923076923,0.6105769230769231,0.7466346153846154,0.5875,0.56875,0.7793269230769231,0.7831730769230769,0.5375,0.5254807692307693
0.8722610722610723,0.882051282051282,0.6111888111888112,0.7463869463869464,0.5883449883449884,0.5706293706293706,0.7794871794871795,0.7841491841491841,0.5375291375291376,0.5258741258741259
0.8724559023066486,0.8751696065128901,0.6114880144730891,0.7399366802351877,0.5879692446856626,0.5685210312075983,0.7783808231569426,0.7824513794663048,0.5377657168701945,0.5246494798733605
0.8709394205443372,0.8788410886742757,0.6079894644424935,0.7388059701492538,0.5930640913081651,0.5715539947322212,0.7818261633011413,0.781387181738367,0.5342405618964003,0.5280948200175593
0.8691389599317988,0.8797953964194374,0.6069906223358909,0.7399829497016198,0.5954816709292413,0.5754475703324808,0.782608695652174,0.7813299232736572,0.5332480818414322,0.5281329923273658
0.8716356107660456,0.8695652173913043,0.6107660455486542,0.7395445134575569,0.5867494824016564,0.5697722567287785,0.779296066252588,0.780952380952381,0.5316770186335403,0.5250517598343686
0.8716297786720322,0.8639839034205231,0.6116700201207244,0.7404426559356136,0.5875251509054326,0.5686116700201207,0.7766599597585513,0.780281690140845,0.53158953722334,0.5259557344064386
