X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,PERF
-22.0,27.0,-10.630085576227131,-5.0,-2.0,-10.100331897680501,1.0,-14.0,15.0,-19.468052468018428,30.226413963396766
-22.0,28.0,25.687461467980825,22.0,-10.0,0.12547251741867882,27.0,19.0,19.0,-26.61250433321265,30.281701622047173
16.0,30.0,24.434140767570213,-29.0,8.0,-26.886100632093694,30.0,7.0,7.0,-29.228890211059124,30.986598497326124
-26.0,27.0,9.160206241082378,12.0,-6.0,-1.4046208702186576,16.0,15.0,16.0,-16.25942495609445,31.32140054787779
-22.0,29.0,0.757405109822912,20.0,30.0,23.021122838203432,0.0,20.0,-26.0,-29.169850629191686,30.87861547924761
-21.0,27.0,-15.255298784658434,-4.0,0.0,-19.538538763034026,-27.0,14.0,15.0,-23.57246306230799,31.055387318052862
-14.0,27.0,28.167282789185414,2.0,-4.0,-4.741811154616787,27.0,-9.0,24.0,-22.383048391872187,31.216655578680875
-13.0,27.0,29.056168697687042,19.0,-12.0,-10.567804410011082,29.0,-5.0,15.0,-27.045446509209956,30.901719286156094
-28.0,25.0,-2.4223540762719473,-3.0,2.0,-8.132644316953677,24.0,-27.0,25.0,-18.26186357641079,30.86080678995668
-22.0,27.0,-17.35122149870506,11.0,-10.0,-28.628440930302627,-9.0,-10.0,-16.0,-25.667854019845045,31.198009687411624
-25.0,29.0,-19.04790831367292,29.0,-4.0,18.030636517271965,-4.0,16.0,26.0,10.017088366802156,31.164658071740902
-17.0,29.0,25.32478327398212,18.0,-14.0,4.719236242200516,-25.0,-25.0,28.0,-28.12256015896541,31.255866055567793
22.0,13.0,29.381906829794545,22.0,-8.0,0.12476361351166432,28.0,27.0,19.0,-4.659062684476027,30.647501998916322
-19.0,28.0,27.810684869255162,19.0,-23.0,25.18767092384168,-3.0,26.0,19.0,-28.601170495349045,31.04941811200265
-21.0,30.0,3.5116591098498304,27.0,-1.0,-28.87920345330368,27.0,-13.0,18.0,6.017142930783464,31.167775459126428
-23.0,-5.0,-5.216530992057834,2.0,-1.0,-9.097411794013464,-2.0,-17.0,17.0,-20.94742431087535,31.43851317894319
-23.0,10.0,-13.996993642829464,-21.0,-1.0,-27.59965422156176,1.0,-26.0,-15.0,-25.20085409977713,31.339036958129828
-23.0,27.0,26.754155757689688,-13.0,13.0,-9.698546737285103,1.0,6.0,20.0,-20.35320951238553,31.534974171089907
-20.0,-3.0,-9.028382897475414,-6.0,-3.0,-18.85284404163479,4.0,28.0,21.0,-8.476633688577252,31.068256569963935
-23.0,-12.0,25.989173398708914,24.0,-13.0,-23.730421362273752,28.0,-22.0,16.0,18.10745162369252,31.280322004264796
-26.0,23.0,-4.073633905627467,25.0,-13.0,21.543273069287117,27.0,21.0,24.0,-19.514941695552746,31.379575513012103
-22.0,28.0,-12.89794921875,-24.0,20.0,7.0,4.0,6.0,16.0,3.0,30.810942750281605
-22.0,-3.0,25.892912197887775,24.0,-1.0,-15.78458732396176,28.0,-1.0,-24.0,9.225178125395324,30.811752410495554
-22.0,2.0,27.47542148600541,-7.0,-5.0,-15.236210172029788,-17.0,-18.0,14.0,1.8371028174621884,30.608732670777666
-22.0,9.0,20.77273672265474,-3.0,-7.0,-13.314205693606613,3.0,-23.0,-21.0,-12.448057158984767,30.47526376574945
-22.0,27.0,10.0,28.0,20.0,7.0,4.0,6.0,13.0,-16.36962890625,30.69306698429536
-22.0,22.0,28.929237859683433,-25.0,-11.0,17.705344167470187,-1.0,7.0,19.0,-20.23803575042909,30.77681321278939
-22.0,8.0,8.235619312271837,30.0,23.0,-17.11278637127142,8.0,-20.0,21.0,-20.165679857779153,30.885964297119667
-22.0,25.0,2.1610869230025855,-26.0,-6.0,-11.27051268565539,11.0,-24.0,-2.0,-3.9933961029062495,31.17969538590278
