X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,PERF
-22.0,27.0,-10.630085576227131,-5.0,-2.0,-10.100331897680501,1.0,-14.0,15.0,-19.468052468018428,30.878494133829864
-22.0,28.0,25.687461467980825,22.0,-10.0,0.12547251741867882,27.0,19.0,19.0,-26.61250433321265,30.72166695534112
16.0,30.0,24.434140767570213,-29.0,8.0,-26.886100632093694,30.0,7.0,7.0,-29.228890211059124,30.63763317461969
-26.0,27.0,9.160206241082378,12.0,-6.0,-1.4046208702186576,16.0,15.0,16.0,-16.25942495609445,30.61240635562085
-22.0,29.0,0.757405109822912,20.0,30.0,23.021122838203432,0.0,20.0,-26.0,-29.169850629191686,30.727986581841943
-21.0,27.0,-15.255298784658434,-4.0,0.0,-19.538538763034026,-27.0,14.0,15.0,-23.57246306230799,30.66364460647755
-14.0,27.0,28.167282789185414,2.0,-4.0,-4.741811154616787,27.0,-9.0,24.0,-22.383048391872187,30.735497407777746
-13.0,27.0,29.056168697687042,19.0,-12.0,-10.567804410011082,29.0,-5.0,15.0,-27.045446509209956,30.781368756634397
-28.0,25.0,-2.4223540762719473,-3.0,2.0,-8.132644316953677,24.0,-27.0,25.0,-18.26186357641079,30.811635469523125
-22.0,27.0,-17.35122149870506,11.0,-10.0,-28.628440930302627,-9.0,-10.0,-16.0,-25.667854019845045,30.74105761127138
-25.0,29.0,-19.04790831367292,29.0,-4.0,18.030636517271965,-4.0,16.0,26.0,10.017088366802156,30.819638875953014
-17.0,29.0,25.32478327398212,18.0,-14.0,4.719236242200516,-25.0,-25.0,28.0,-28.12256015896541,30.79931583064685
22.0,13.0,29.381906829794545,22.0,-8.0,0.12476361351166432,28.0,27.0,19.0,-4.659062684476027,30.79708685470046
-19.0,28.0,27.810684869255162,19.0,-23.0,25.18767092384168,-3.0,26.0,19.0,-28.601170495349045,30.88284600023405
-21.0,30.0,3.5116591098498304,27.0,-1.0,-28.87920345330368,27.0,-13.0,18.0,6.017142930783464,30.740686682314493
-23.0,-5.0,-5.216530992057834,2.0,-1.0,-9.097411794013464,-2.0,-17.0,17.0,-20.94742431087535,30.672456646549108
-23.0,10.0,-13.996993642829464,-21.0,-1.0,-27.59965422156176,1.0,-26.0,-15.0,-25.20085409977713,30.8639343927924
-23.0,27.0,26.754155757689688,-13.0,13.0,-9.698546737285103,1.0,6.0,20.0,-20.35320951238553,30.86760395237585
-20.0,-3.0,-9.028382897475414,-6.0,-3.0,-18.85284404163479,4.0,28.0,21.0,-8.476633688577252,30.81542924568698
-23.0,-12.0,25.989173398708914,24.0,-13.0,-23.730421362273752,28.0,-22.0,16.0,18.10745162369252,30.873203179422568
-26.0,23.0,-4.073633905627467,25.0,-13.0,21.543273069287117,27.0,21.0,24.0,-19.514941695552746,30.92407406264315
-22.0,28.0,-12.89794921875,-24.0,20.0,7.0,4.0,6.0,16.0,3.0,30.89728032217486
-22.0,-3.0,25.892912197887775,24.0,-1.0,-15.78458732396176,28.0,-1.0,-24.0,9.225178125395324,30.864581506661168
-22.0,2.0,27.47542148600541,-7.0,-5.0,-15.236210172029788,-17.0,-18.0,14.0,1.8371028174621884,30.860757993246445
-22.0,9.0,20.77273672265474,-3.0,-7.0,-13.314205693606613,3.0,-23.0,-21.0,-12.448057158984767,30.819934739282388
-22.0,27.0,10.0,28.0,20.0,7.0,4.0,6.0,13.0,-16.36962890625,30.809607288141596
-22.0,22.0,28.929237859683433,-25.0,-11.0,17.705344167470187,-1.0,7.0,19.0,-20.23803575042909,30.899010986941498
-22.0,8.0,8.235619312271837,30.0,23.0,-17.11278637127142,8.0,-20.0,21.0,-20.165679857779153,30.866931784054895
-22.0,25.0,2.1610869230025855,-26.0,-6.0,-11.27051268565539,11.0,-24.0,-2.0,-3.9933961029062495,30.85002238518801
-22.0,29.0,-28.739174309291847,21.0,-1.0,-2.7487883229400367,30.0,-25.0,29.0,-10.853750899407686,30.799848618565928
-22.0,27.0,8.23493052469118,24.0,-12.0,-8.31733671185734,3.0,-8.0,-28.0,-14.263868688179745,30.84012086095177
-24.0,25.0,-15.857359277359832,26.0,-3.0,-13.907181899790768,2.0,-3.0,-28.0,1.1667823089233842,30.799391712391802
-22.0,3.0,26.306266690031883,30.0,-23.0,13.633531140684418,-3.0,17.0,24.0,-23.795982850499602,30.892414059141633
-22.0,30.0,24.15727502941389,22.0,-6.0,7.862164346144425,11.0,20.0,8.0,2.7337243354579357,30.857560502033643
-26.0,29.0,-9.416284462346884,-6.0,24.0,-10.752503608924453,-29.0,-27.0,-6.0,-22.237633040220935,30.952493305422266
-22.0,1.0,24.864553185602475,25.0,3.0,-4.270425492876736,-28.0,-17.0,-28.0,-27.30194208772123,30.788043566915952
-26.0,21.0,22.854720898041144,-1.0,-18.0,-5.859136862884174,2.0,-7.0,-20.0,-19.976352012070933,30.972684277007055
20.0,-12.0,28.839009820096138,29.0,-25.0,-26.924235403382564,2.0,-9.0,-26.0,25.924564391616222,30.960884929256896
10.0,28.0,26.14446387933433,26.0,-13.0,-25.234460652803808,14.0,25.0,-26.0,23.235937158812327,30.787548132787702
-19.0,12.0,-5.700968131968647,-13.0,-3.0,-9.072172495091138,-27.0,-16.0,15.0,-19.277387436746164,30.92573961505289
-22.0,-2.0,24.27827488932281,2.0,-9.0,-14.946041328573992,19.0,-12.0,-20.0,-28.636068989256085,30.881078162523405
-22.0,28.0,13.528075565459403,-2.0,-1.0,6.079481139837412,2.0,-22.0,-8.0,-20.234421107827234,30.816566483822125
-19.0,-15.0,25.5908203125,15.0,26.0,7.0,4.0,6.0,16.0,3.0,31.02119927018454
-22.0,23.0,9.098089551197013,-1.0,-29.0,-20.83775398282797,16.0,8.0,-29.0,-6.583896860977937,30.906429123267966
25.0,28.0,25.68603515625,15.0,-9.0,7.0,4.0,6.0,10.0,3.0,30.871448517187574
21.0,26.0,27.12578369263344,-2.0,-12.0,-19.52704942058448,-6.0,-14.0,5.0,-25.0587981392945,30.87829379757726
3.0,-13.0,27.091643050542004,1.0,-1.0,-27.463132862918584,-28.0,-10.0,-29.0,20.437824089047204,30.850926060912425
-24.0,-3.0,28.737809915748905,0.0,23.0,-10.026824479264803,11.0,15.0,3.0,-9.14845819020239,30.85369456599821
-14.0,-28.0,29.013064879920094,-2.0,-26.0,-26.98457788706964,-25.0,-2.0,23.0,25.204453466741512,31.04168868015463
25.0,29.0,28.92807040718494,-11.0,19.0,-16.03502854393938,-11.0,-12.0,8.0,-10.838737491900076,30.83136541021304
-22.0,-8.0,10.0,-5.0,-3.0,7.0,4.0,6.0,-8.0,3.0,30.895460417089744
-22.0,-8.0,-5.072021484375,-3.0,-8.0,7.0,4.0,6.0,31.0,3.0,30.793492472565845
-22.0,-8.0,10.0,-5.0,-3.0,7.0,4.0,6.0,31.0,-8.602294921875,30.66745666786054
-22.0,-8.0,10.0,-5.0,-3.0,7.0,4.0,6.0,-8.0,3.0,30.478165695520573
-22.0,-23.0,13.011474609375,-5.0,-1.0,7.0,4.0,6.0,31.0,3.0,30.646534615584024
-22.0,24.0,3.14208984375,-9.0,-3.0,7.0,4.0,6.0,31.0,3.0,30.681312952017105
-22.0,-8.0,10.0,-5.0,-3.0,7.0,4.0,6.0,-8.0,3.0,30.45838995170425
-22.0,-7.0,10.0,11.0,-3.0,7.0,4.0,6.0,31.0,-19.453125,30.68095274058493
-25.0,-8.0,5.302734375,-8.0,-7.0,7.0,4.0,6.0,31.0,3.0,30.7511134405658
-14.0,-8.0,3.2666015625,-6.0,-2.0,7.0,4.0,6.0,31.0,3.0,30.73497077183702
-22.0,5.0,10.0,-4.0,-22.0,7.0,4.0,6.0,31.0,-24.027099609375,30.745893247745144
-22.0,-11.0,8.990478515625,-9.0,20.0,7.0,0.0,6.0,31.0,3.0,30.81921873725275
-22.0,26.0,10.0,-22.0,-2.0,7.0,4.0,6.0,-13.0,3.0,30.715320669193574
-22.0,-8.0,10.0,-5.0,-3.0,7.0,-8.0,6.0,31.0,3.0,30.678063072980354
-22.0,4.0,-8.843994140625,-5.0,-3.0,-8.602294921875,4.0,6.0,31.0,3.0,30.616194617689874
-22.0,4.0,10.0,-23.0,-3.0,7.0,9.0,6.0,-28.0,3.0,30.61590999902539
-26.0,4.0,10.0,-7.0,-2.0,7.0,2.0,6.0,-15.0,3.0,30.840740638083
-23.0,-14.0,10.0,-3.0,20.0,7.0,3.0,6.0,-8.0,3.0,30.904641118451842
-22.0,26.0,10.0,-22.0,-2.0,7.0,4.0,6.0,-13.0,3.0,30.475768437627508
-22.0,4.0,15.845947265625,15.0,-2.0,-1.790771484375,4.0,6.0,0.0,3.0,30.69851473887935
-22.0,4.0,10.0,-5.0,-22.0,11.942138671875,4.0,6.0,31.0,3.0,30.669485644311873
-22.0,4.0,9.990234375,-29.0,20.0,20.830078125,4.0,6.0,-1.0,3.0,30.72570985861863
-22.0,4.0,10.616455078125,-11.0,20.0,7.0,0.0,6.0,-9.0,3.0,30.59333462906004
-22.0,23.0,7.796630859375,-27.0,20.0,7.0,4.0,6.0,-11.0,3.0,30.609666571425727
-22.0,4.0,9.990234375,-29.0,20.0,7.0,20.0,6.0,-1.0,3.0,30.728468384682937
-22.0,4.0,10.283203125,-9.0,-19.0,7.0,4.0,6.0,31.0,18.076171875,30.493596439674725
