X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,PERF
0.0,11.0,29.46454670091282,-17.0,18.0,16.333188560164004,15.0,2.0,0.0,-29.83917184571452,30.784833927494148
0.0,21.0,27.237286035839126,-20.0,-15.0,-7.1757504920298665,25.0,23.0,25.0,-20.27737779298272,30.347394903179442
16.0,8.0,25.76979709320358,-20.0,-22.0,-12.124379179098032,30.0,8.0,30.0,10.23392634683993,30.31388736282641
-8.0,18.0,27.32701490865309,-18.0,-17.0,-23.00399405785216,23.0,10.0,10.0,19.84973884689358,30.35304187783879
10.0,29.0,25.103984679464773,26.0,-18.0,-9.098844849050494,-6.0,24.0,27.0,3.9130665994420823,30.089798240065353
-8.0,26.0,25.35331542655218,24.0,-12.0,17.035347187025366,-10.0,30.0,30.0,21.95885633722783,30.391818083874494
1.0,28.0,24.2578125,-7.0,20.0,0.1171875,4.0,6.0,31.0,29.4140625,30.315356529897176
1.0,4.0,23.92822265625,29.0,20.0,-19.37255859375,25.0,6.0,31.0,29.17236328125,30.446134293361528
25.0,30.0,24.535664140775168,19.0,-19.0,-20.760353802061637,-12.0,12.0,-22.0,-11.310304943067322,30.704021113969596
8.0,25.0,23.705385214603467,16.0,-17.0,-5.515114980118167,7.0,15.0,30.0,13.717396133479347,30.7735249543931
7.0,30.0,24.313306851403162,4.0,0.0,-21.70240121120139,20.0,20.0,12.0,-29.10811204516025,30.63808496714026
1.0,29.0,28.58642578125,-10.0,20.0,17.62939453125,-7.0,6.0,31.0,3.0,30.82735424401408
-13.0,29.0,25.727169010720118,25.0,-26.0,-1.2949875695287076,12.0,-20.0,-20.0,19.161435093182703,30.602574376442956
5.0,29.0,26.687910263582687,25.0,22.0,-2.6414099714457144,-4.0,29.0,30.0,9.531047255531703,30.724665819163032
-10.0,23.0,24.947220918293276,27.0,-20.0,-19.523667641823636,29.0,-1.0,29.0,1.7861835043138008,30.51178554546395
26.0,-15.0,28.82040852724075,-23.0,-4.0,-17.538968830066295,6.0,28.0,22.0,26.464543480725965,30.631766323055963
-15.0,-20.0,25.51051730850378,27.0,-16.0,-17.67292401278833,-27.0,25.0,3.0,-3.8355670598749256,30.80671115132445
22.0,-3.0,23.808327284258944,27.0,-28.0,1.8999321367119606,10.0,30.0,16.0,26.68160769532075,30.238532438501764
23.0,-16.0,24.382038464726506,21.0,-19.0,28.060794854273112,-3.0,-26.0,23.0,25.68119473516508,30.432389455641626
10.0,15.0,23.596569577607426,12.0,-29.0,-7.5717141421405145,-16.0,-17.0,8.0,27.390750643981093,30.85526284902738
30.0,29.0,25.55116904076121,-8.0,-8.0,10.426288274807902,-15.0,13.0,29.0,7.213465873615874,30.869743144526776
-2.0,-3.0,24.43208687144476,7.0,-20.0,-12.810855449128251,-6.0,23.0,27.0,-18.96597432628075,30.610321572891078
9.0,29.0,24.607755539539824,29.0,-13.0,11.759914807107585,-8.0,9.0,29.0,12.991697305603253,30.66528373881012
21.0,-25.0,25.548861223399122,30.0,-25.0,2.9303773057061306,11.0,21.0,-12.0,6.300062998925981,30.511118981556717
-27.0,16.0,23.92066309015702,-3.0,-29.0,-10.157006083964742,26.0,26.0,24.0,2.2226400494877225,30.155846868912192
-3.0,-26.0,23.78686112461199,26.0,-28.0,2.8338470719670994,17.0,27.0,-16.0,-6.664752173788894,30.34503971134696
1.0,4.0,23.84033203125,2.0,20.0,-5.10498046875,6.0,26.0,31.0,3.0,30.191350344416634
-13.0,0.0,23.701639351481866,-26.0,-3.0,-9.397229636941084,26.0,26.0,14.0,20.136746413602765,30.735499947467403
1.0,4.0,23.84033203125,2.0,20.0,-5.10498046875,6.0,26.0,31.0,3.0,30.191350344416634
1.0,4.0,24.51416015625,3.0,20.0,22.46337890625,16.0,25.0,31.0,3.0,30.88829543376946
