X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,PERF
0.0,11.0,29.46454670091282,-17.0,18.0,16.333188560164004,15.0,2.0,0.0,-29.83917184571452,30.628692915538974
0.0,21.0,27.237286035839126,-20.0,-15.0,-7.1757504920298665,25.0,23.0,25.0,-20.27737779298272,30.72519663732819
16.0,8.0,25.76979709320358,-20.0,-22.0,-12.124379179098032,30.0,8.0,30.0,10.23392634683993,30.59944005736871
-8.0,18.0,27.32701490865309,-18.0,-17.0,-23.00399405785216,23.0,10.0,10.0,19.84973884689358,30.579502893256002
10.0,29.0,25.103984679464773,26.0,-18.0,-9.098844849050494,-6.0,24.0,27.0,3.9130665994420823,30.55862739830763
-8.0,26.0,25.35331542655218,24.0,-12.0,17.035347187025366,-10.0,30.0,30.0,21.95885633722783,30.300495206393336
1.0,28.0,24.2578125,-7.0,20.0,0.1171875,4.0,6.0,31.0,29.4140625,30.456349589629863
1.0,4.0,23.92822265625,29.0,20.0,-19.37255859375,25.0,6.0,31.0,29.17236328125,30.51017754384176
25.0,30.0,24.535664140775168,19.0,-19.0,-20.760353802061637,-12.0,12.0,-22.0,-11.310304943067322,30.32154074201971
8.0,25.0,23.705385214603467,16.0,-17.0,-5.515114980118167,7.0,15.0,30.0,13.717396133479347,30.43755262417759
7.0,30.0,24.313306851403162,4.0,0.0,-21.70240121120139,20.0,20.0,12.0,-29.10811204516025,30.362180151207927
1.0,29.0,28.58642578125,-10.0,20.0,17.62939453125,-7.0,6.0,31.0,3.0,30.363332051547644
-13.0,29.0,25.727169010720118,25.0,-26.0,-1.2949875695287076,12.0,-20.0,-20.0,19.161435093182703,30.46647358145362
5.0,29.0,26.687910263582687,25.0,22.0,-2.6414099714457144,-4.0,29.0,30.0,9.531047255531703,30.394338540727276
-10.0,23.0,24.947220918293276,27.0,-20.0,-19.523667641823636,29.0,-1.0,29.0,1.7861835043138008,30.37795030212026
26.0,-15.0,28.82040852724075,-23.0,-4.0,-17.538968830066295,6.0,28.0,22.0,26.464543480725965,30.405798415147657
-15.0,-20.0,25.51051730850378,27.0,-16.0,-17.67292401278833,-27.0,25.0,3.0,-3.8355670598749256,30.3930439519328
22.0,-3.0,23.808327284258944,27.0,-28.0,1.8999321367119606,10.0,30.0,16.0,26.68160769532075,30.515883992441715
23.0,-16.0,24.382038464726506,21.0,-19.0,28.060794854273112,-3.0,-26.0,23.0,25.68119473516508,30.418984883780034
10.0,15.0,23.596569577607426,12.0,-29.0,-7.5717141421405145,-16.0,-17.0,8.0,27.390750643981093,30.592632416672767
30.0,29.0,25.55116904076121,-8.0,-8.0,10.426288274807902,-15.0,13.0,29.0,7.213465873615874,30.500572075860056
-2.0,-3.0,24.43208687144476,7.0,-20.0,-12.810855449128251,-6.0,23.0,27.0,-18.96597432628075,30.42055716093637
9.0,29.0,24.607755539539824,29.0,-13.0,11.759914807107585,-8.0,9.0,29.0,12.991697305603253,30.501645224122395
21.0,-25.0,25.548861223399122,30.0,-25.0,2.9303773057061306,11.0,21.0,-12.0,6.300062998925981,30.412106701095563
-27.0,16.0,23.92066309015702,-3.0,-29.0,-10.157006083964742,26.0,26.0,24.0,2.2226400494877225,30.396839734882406
-3.0,-26.0,23.78686112461199,26.0,-28.0,2.8338470719670994,17.0,27.0,-16.0,-6.664752173788894,30.393129923330545
1.0,4.0,23.84033203125,2.0,20.0,-5.10498046875,6.0,26.0,31.0,3.0,30.48735027368316
-13.0,0.0,23.701639351481866,-26.0,-3.0,-9.397229636941084,26.0,26.0,14.0,20.136746413602765,30.58531886468084
1.0,4.0,23.84033203125,2.0,20.0,-5.10498046875,6.0,26.0,31.0,3.0,30.32400630019778
1.0,4.0,24.51416015625,3.0,20.0,22.46337890625,16.0,25.0,31.0,3.0,30.400026482947396
1.0,4.0,23.84033203125,2.0,20.0,-5.10498046875,6.0,26.0,31.0,3.0,30.261565962068847
1.0,4.0,23.75244140625,-4.0,20.0,-11.22802734375,24.0,-17.0,31.0,3.0,30.383549897225713
1.0,4.0,24.92431640625,-1.0,20.0,-28.80615234375,0.0,27.0,31.0,3.0,30.444020546871997
1.0,4.0,24.06005859375,-19.0,20.0,-8.31298828125,-9.0,27.0,31.0,3.0,30.353477088966425
1.0,4.0,24.755859375,12.0,20.0,2.197265625,2.0,25.0,31.0,3.0,30.438078749546793
1.0,4.0,24.005126953125,8.0,20.0,-14.769287109375,-23.0,26.0,31.0,3.0,30.440963867305754
1.0,4.0,23.67919921875,-8.0,20.0,-23.45947265625,-20.0,28.0,31.0,3.0,30.631862090558506
1.0,4.0,25.166015625,-8.0,20.0,-10.400390625,18.0,27.0,31.0,3.0,30.342100540963926
1.0,4.0,23.887939453125,-1.0,20.0,-7.152099609375,-17.0,15.0,31.0,3.0,30.39379814068038
-22.0,12.0,23.833250365714548,12.0,-1.0,-2.05968159635286,-13.0,17.0,22.0,23.30444981449989,30.314193233962982
1.0,4.0,23.887939453125,-1.0,20.0,-7.152099609375,-17.0,6.0,15.0,3.0,30.309058287670595
15.0,6.0,23.898957561299575,11.0,12.0,17.52698578761136,-7.0,4.0,-1.0,2.9774279065767644,30.3781214515809
1.0,4.0,23.887939453125,-1.0,20.0,-7.152099609375,-17.0,6.0,15.0,3.0,30.27649540305384
1.0,4.0,23.902587890625,1.0,20.0,7.218017578125,-27.0,6.0,11.0,3.0,30.3865757965376
1.0,23.0,23.7451171875,-3.0,20.0,-17.2705078125,-13.0,6.0,31.0,3.0,30.389517649465173
1.0,25.0,23.86962890625,5.0,20.0,12.73681640625,23.0,6.0,31.0,3.0,30.435633323635592
22.0,-22.0,23.861479202164276,-21.0,21.0,-8.867235173178496,-25.0,21.0,-25.0,-4.667909170260863,30.352088424420682
1.0,4.0,23.8330078125,-29.0,20.0,25.0341796875,-21.0,6.0,31.0,-20.1416015625,30.38742983519846
1.0,4.0,23.84765625,-11.0,20.0,21.62109375,-1.0,6.0,31.0,3.0,30.279073295901597
1.0,22.0,23.734130859375,23.0,20.0,7.738037109375,-24.0,6.0,31.0,3.0,30.389328784733813
1.0,26.0,23.818359375,-15.0,20.0,-8.466796875,-28.0,6.0,31.0,3.0,30.279960501757472
11.0,29.0,24.781455284891848,28.0,-17.0,0.6871429862014473,21.0,24.0,-28.0,-10.15726866897414,30.424952444862004
1.0,0.0,25.213623046875,0.0,20.0,-0.977783203125,-21.0,6.0,31.0,3.0,30.431898386341977
1.0,0.0,25.213623046875,0.0,20.0,-0.977783203125,-21.0,6.0,31.0,3.0,30.307520327335855
1.0,13.0,26.715087890625,-1.0,20.0,-9.847412109375,-19.0,6.0,31.0,3.0,30.345750129165577
1.0,-27.0,23.72314453125,0.0,20.0,-5.04638671875,-14.0,6.0,31.0,3.0,30.46970143104092
1.0,6.0,25.01220703125,-25.0,20.0,26.94580078125,-21.0,6.0,31.0,3.0,30.421471511300037
1.0,6.0,25.01220703125,-25.0,20.0,26.94580078125,-21.0,6.0,31.0,3.0,30.20020234584753
1.0,6.0,25.01220703125,-25.0,20.0,26.94580078125,-21.0,6.0,31.0,3.0,30.074894230446024
1.0,6.0,25.01220703125,-25.0,20.0,26.94580078125,-21.0,6.0,31.0,3.0,30.06172291915285
1.0,7.0,24.55810546875,14.0,20.0,29.71435546875,-23.0,6.0,31.0,3.0,30.291764207049386
1.0,22.0,25.301513671875,-27.0,20.0,29.168701171875,-7.0,6.0,31.0,3.0,30.248061668016494
