executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
14,33062,16,16,true,70,0.8537827971114054,0.6769782327577524,55,false,28,988,50,1.6055333138941694,0.6973825170928363,76,lz4,91,6,true,119,6,252,58,2,false,true,true,true,org.apache.spark.serializer.JavaSerializer,44.803
7,30457,48,14,true,77,0.8366249030077637,0.886219458457423,74,true,90,840,55,1.5074930967442444,0.7349146834217488,65,lzf,118,41,false,102,24,490,207,2,true,true,true,false,org.apache.spark.serializer.JavaSerializer,41.554
14,42114,18,32,false,77,0.9798496612252479,0.7939341242212957,23,false,127,466,93,2.600960173135231,0.21004028183229478,73,lzf,119,32,true,90,68,140,335,5,true,false,true,false,org.apache.spark.serializer.JavaSerializer,46.059
9,43565,45,21,true,99,0.9383768909931371,0.6749112082817385,78,true,108,984,49,1.6326581344061584,0.711013433512168,71,lz4,90,81,true,73,27,389,455,8,true,false,false,false,org.apache.spark.serializer.JavaSerializer,43.936
3,31641,40,27,true,93,0.9164827680407809,0.7320382279328513,84,false,8,215,61,2.773028028142856,0.7430863518571288,109,lzf,80,97,true,14,90,495,53,9,false,false,true,true,org.apache.spark.serializer.JavaSerializer,38.862
2,27511,28,47,false,55,0.8022381029826895,0.9544896586097426,41,true,116,127,56,4.022482832623955,0.6804077947511028,90,lzf,85,13,true,80,83,88,226,4,false,false,true,true,org.apache.spark.serializer.JavaSerializer,75.372
7,29979,23,14,false,29,0.7088613805158686,0.6999995134208506,12,true,9,112,67,4.66160813031,0.9289316143144596,81,lz4,73,67,false,120,102,213,477,5,true,true,true,false,org.apache.spark.serializer.JavaSerializer,42.503
3,25600,8,8,false,10,0.6,0.5,32,false,48,780,100,3.5341796875,0.75,4,lz4,64,32,true,54,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,56.331
15,35686,10,24,true,14,0.7602673850152082,0.6539040244436931,104,true,61,780,59,1.3790088999702215,0.28087646329476024,94,lzf,66,84,false,93,3,258,284,3,true,false,false,true,org.apache.spark.serializer.KryoSerializer,44.715
8,41057,23,35,false,78,0.9866795593010547,0.784711147300073,58,true,31,819,72,4.665985388231567,0.6951857617291302,61,lz4,87,15,true,70,29,94,234,8,false,false,true,false,org.apache.spark.serializer.JavaSerializer,43.336
13,43724,36,21,false,15,0.8193973798730368,0.6510927452472495,34,false,68,595,58,2.2882913769042523,0.6405522070570743,39,lz4,97,42,false,94,22,468,51,2,false,false,false,true,org.apache.spark.serializer.JavaSerializer,46.756
9,32228,24,18,false,84,0.8240710327915843,0.9906919953047187,15,true,28,879,54,1.1730800673419735,0.22992528646411947,102,lz4,107,114,false,95,71,327,295,5,false,false,false,true,org.apache.spark.serializer.JavaSerializer,41.465
3,30802,35,25,true,95,0.6355284357321619,0.9127154839015085,104,true,3,254,73,3.8797639023939734,0.10165038116300289,47,lzf,65,46,false,11,39,127,344,2,false,true,true,false,org.apache.spark.serializer.JavaSerializer,40.394
4,28784,13,12,false,41,0.9467034375184977,0.9508921822965458,19,true,81,785,14,1.1130418623721499,0.769056105659484,81,lzf,65,99,true,103,87,209,200,9,true,true,false,true,org.apache.spark.serializer.KryoSerializer,40.832
11,27480,41,41,false,15,0.8084527836304995,0.7536442491729891,67,false,27,552,67,2.8815869019618026,0.5921615260613766,122,lzf,77,13,true,40,74,129,252,8,false,false,true,false,org.apache.spark.serializer.JavaSerializer,40.028
6,29168,29,42,false,57,0.7305201463772985,0.9584072299050601,83,true,81,231,93,2.3647098663063915,0.9481448674418828,4,lz4,78,59,true,98,117,304,91,3,false,false,true,false,org.apache.spark.serializer.JavaSerializer,53.507
8,37440,39,31,false,76,0.980769012437183,0.7619473587110233,23,false,93,375,52,1.619478197301898,0.33151032820572557,62,lz4,98,59,false,98,119,393,43,8,false,false,false,true,org.apache.spark.serializer.JavaSerializer,48.839
4,32942,18,22,true,62,0.76170685001879,0.6591611542673614,78,true,109,956,74,1.6453432273145783,0.3570601256219529,96,lz4,128,105,false,124,12,133,33,2,true,false,false,false,org.apache.spark.serializer.JavaSerializer,46.227
4,33873,43,20,true,68,0.6617474278610402,0.9771415995343118,119,true,50,870,16,1.6796947334703207,0.9753053075589296,128,lzf,95,9,false,30,81,198,246,6,false,true,true,true,org.apache.spark.serializer.KryoSerializer,43.791
16,26784,36,40,true,76,0.8910350976791752,0.8134436911560063,58,false,12,777,93,1.1489697730381374,0.8427635434779567,105,lzf,103,56,true,109,43,452,378,9,false,true,true,true,org.apache.spark.serializer.KryoSerializer,41.902
3,26266,41,32,false,37,0.7229584280155574,0.6812031608529348,14,true,79,446,11,4.137645811554368,0.5709108003302287,90,lz4,90,65,true,55,107,317,196,2,false,false,false,false,org.apache.spark.serializer.JavaSerializer,40.557
6,40419,22,38,false,73,0.7954057559789975,0.6304960201251913,71,false,19,266,63,1.3675127402070597,0.48436876898706316,27,lz4,105,79,false,119,128,434,462,6,true,false,false,true,org.apache.spark.serializer.KryoSerializer,44.887
3,31858,27,30,true,14,0.744983965851002,0.6334747647723723,44,false,76,126,80,2.8273986678009866,0.2694709287039412,97,lzf,99,11,true,33,38,283,117,2,false,false,false,false,org.apache.spark.serializer.KryoSerializer,41.372
