sourcetask_bayes_0dot2,sourcetask_bayes_0dot5,sourcetask_bayes_1,sourcetask_pagerank_0dot5,sourcetask_pagerank_1,sourcetask_sort_10,sourcetask_sort_20,sourcetask_terasort_10,sourcetask_terasort_5,sourcetask_wordcount_32,sourcetask_wordcount_50
0.5559183673469388,0.4236734693877551,0.5485714285714286,0.5542857142857143,0.5795918367346938,0.5795918367346938,0.5248979591836734,0.4089795918367347,0.5518367346938775,0.48489795918367345,0.516734693877551
0.5364705882352941,0.4117647058823529,0.5568627450980392,0.5694117647058824,0.571764705882353,0.5843137254901961,0.5294117647058824,0.4125490196078431,0.5349019607843137,0.46980392156862744,0.5137254901960784
0.5399698340874811,0.4019607843137255,0.5648567119155354,0.5776772247360482,0.555052790346908,0.5806938159879337,0.5150829562594268,0.41402714932126694,0.5301659125188537,0.4577677224736048,0.5090497737556561
0.5500725689404935,0.3955007256894049,0.5711175616835994,0.5878084179970973,0.5631349782293179,0.5885341074020319,0.5246734397677794,0.41872278664731494,0.5420899854862119,0.44702467343976776,0.5137880986937591
0.5520614954577219,0.4060097833682739,0.5779175401816912,0.5918937805730259,0.570230607966457,0.5758211041229909,0.519916142557652,0.416491963661775,0.5527603074772887,0.4584206848357792,0.5101327742837177
0.5420875420875421,0.4,0.5851851851851851,0.5986531986531987,0.5764309764309764,0.5797979797979798,0.5185185185185185,0.41885521885521887,0.5602693602693603,0.4478114478114478,0.5144781144781144
0.551948051948052,0.4103896103896104,0.5902597402597403,0.6032467532467533,0.5707792207792208,0.5837662337662337,0.5162337662337663,0.42337662337662335,0.5493506493506494,0.4577922077922078,0.5051948051948052
0.5401002506265664,0.40476190476190477,0.5952380952380952,0.6096491228070176,0.5588972431077694,0.5889724310776943,0.5050125313283208,0.43609022556390975,0.5407268170426065,0.44799498746867167,0.4981203007518797
0.5474894131881428,0.39806412583182094,0.6019358741681791,0.6140350877192983,0.5650332728372656,0.5952813067150635,0.5045372050816697,0.43496672716273443,0.5468844525105868,0.43920145190562615,0.49304295220810646
0.5517241379310345,0.4026884862653419,0.6014026884862653,0.6177673874926943,0.5739333722969024,0.5990648743424898,0.5143191116306254,0.4260666277030976,0.5499707773232028,0.4488603156049094,0.494447691408533
0.5423728813559322,0.39887005649717516,0.603954802259887,0.6203389830508474,0.5711864406779661,0.5949152542372881,0.5056497175141242,0.43389830508474575,0.5548022598870056,0.44124293785310736,0.49548022598870056
0.5355191256830601,0.3945355191256831,0.6076502732240437,0.6240437158469946,0.5601092896174863,0.585792349726776,0.5038251366120219,0.43934426229508194,0.5601092896174863,0.4349726775956284,0.4923497267759563
0.5441565309360127,0.3855103120042306,0.5996827075621365,0.6287678476996298,0.5478582760444209,0.5917503966155473,0.5034373347435219,0.44368059227921736,0.5468006345848757,0.4251718667371761,0.5029085140137494
0.5483870967741935,0.3768561187916027,0.6021505376344086,0.6298003072196621,0.5360983102918587,0.5960061443932412,0.5017921146953405,0.4393241167434716,0.5376344086021505,0.41781874039938555,0.49923195084485406
