X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,PERF
28.0,0.0,-21.608935552718552,8.0,-24.0,29.904614307395832,24.0,-8.0,15.0,29.78182176707375,20.55988088314758
0.0,5.0,4.410383551709977,-8.0,-7.0,29.59850037136909,7.0,-2.0,-1.0,17.902273886334093,18.713760084178535
-12.0,19.0,-4.285197619208738,-3.0,25.0,29.991012654247214,-16.0,23.0,-27.0,-13.801168699770379,20.410446323260555
1.0,4.0,10.0,-15.0,0.0,29.58984375,13.0,-6.0,31.0,3.0,19.538219890309502
-2.0,-13.0,8.703947478530992,-19.0,-3.0,29.638152834060982,1.0,-26.0,-5.0,22.557714024292252,20.283014476155074
-10.0,16.0,16.445076911052873,-10.0,22.0,29.58526787785516,-24.0,29.0,-22.0,17.39692250498419,20.574669034866307
-28.0,4.0,15.559480197837537,-20.0,-8.0,29.64850049147968,18.0,22.0,-6.0,0.1862083619157744,20.60940061584977
1.0,4.0,10.0,-12.0,24.0,29.6044921875,4.0,-27.0,24.0,3.0,20.071971910057375
0.0,0.0,18.45385233903822,-3.0,-9.0,29.590262423900818,-9.0,-15.0,30.0,-8.781790070864076,20.212420918627227
-5.0,29.0,-26.17724789149245,17.0,-6.0,29.460539098932948,25.0,4.0,-17.0,-15.80887413042044,20.25021358030311
-15.0,6.0,25.183146640670792,26.0,-15.0,29.569099756211692,22.0,-8.0,-1.0,7.879104911423362,20.268446345295047
22.0,14.0,-8.214562859819921,-22.0,14.0,29.944373664384294,-29.0,9.0,9.0,19.459569009777134,20.31843536385905
14.0,5.0,17.042062146865796,10.0,10.0,29.450461338405866,-7.0,-2.0,23.0,23.02813126900076,20.031405056548394
-12.0,27.0,3.357004331241086,-26.0,1.0,29.621597140749962,-17.0,-2.0,-9.0,-1.7009078436194152,20.528236743592544
5.0,4.0,10.0,1.0,20.0,29.8828125,7.0,6.0,-23.0,3.0,19.918108697269904
12.0,-22.0,5.986028365016551,21.0,-2.0,29.8738226587583,24.0,-28.0,-15.0,28.30179682474055,20.114407673879846
-7.0,5.0,18.577424407350506,-13.0,-7.0,29.56222161951238,-24.0,-20.0,30.0,11.699797784180603,20.426590718482753
0.0,-1.0,3.9225960845191423,22.0,4.0,29.586412708487543,8.0,-4.0,30.0,4.312423838546806,19.923644651156295
13.0,18.0,0.5131571432547268,11.0,-10.0,29.29152856579109,14.0,-2.0,-8.0,4.056393615012915,20.492635415944026
1.0,4.0,4.1455078125,-7.0,-26.0,29.9560546875,4.0,6.0,-17.0,3.0,20.14134700249368
1.0,-20.0,-13.803299168895144,-24.0,-7.0,29.356721834556573,22.0,-3.0,-5.0,-8.811518790008922,20.318847525789067
23.0,14.0,22.94074052668384,-8.0,-5.0,29.606776372352883,20.0,-1.0,3.0,25.650143854179944,20.145942397208287
1.0,4.0,5.19287109375,-15.0,8.0,29.27490234375,4.0,6.0,0.0,3.0,19.665565609038627
9.0,-9.0,14.074960934349164,-7.0,-22.0,29.43040144353668,-6.0,27.0,-1.0,18.772022433865686,20.109879326375133
0.0,4.0,4.62158203125,-28.0,-26.0,29.69970703125,4.0,6.0,31.0,3.0,20.55707189749991
16.0,14.0,-8.51169767180069,-8.0,-6.0,29.254476167365112,-29.0,7.0,21.0,12.269828356869823,20.452972109581044
1.0,4.0,15.52001953125,-18.0,-7.0,29.37744140625,11.0,6.0,31.0,3.0,20.445377294746983
-27.0,-7.0,-15.360101580308706,29.0,2.0,29.16596107141016,24.0,-6.0,29.0,17.72726143282476,20.52826709866636
1.0,4.0,13.99658203125,-9.0,0.0,29.49462890625,4.0,6.0,31.0,17.95166015625,19.374288756933655
22.0,4.0,4.0283203125,-3.0,12.0,29.1064453125,4.0,6.0,31.0,3.0,20.015191636227954
